City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Guantanamo,CU,77.07,few clouds,20.1444,-75.2092,Hotel Guantánamo
278,Marica,BR,75.85,overcast clouds,-22.9194,-42.8186,Marica Hills
281,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
282,Jacareacanga,BR,75.49,light rain,-6.2222,-57.7528,Casa do Ian😎
288,Butaritari,KI,83.03,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
289,Bonthe,SL,81.27,broken clouds,7.5264,-12.505,Bonthe Holiday Village
290,Pontianak,ID,84.18,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
291,Faanui,PF,81.27,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
296,Bilma,NE,87.82,clear sky,18.6853,12.9164,Expeditions Ténére voyages
297,Daru,PG,81.66,scattered clouds,-9.0763,143.2092,Daru Lodge
305,Cotonou,BJ,81.0,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
309,Bolgatanga,GH,85.64,overcast clouds,10.7856,-0.8514,Mama's Place
311,Tamiahua,MX,79.52,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
313,Hefei,CN,77.95,scattered clouds,31.8639,117.2808,Jinhuan Hotel
318,Banda Aceh,ID,84.51,overcast clouds,5.5577,95.3222,Sulthan Hotel International
321,Vanimo,PG,81.75,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
322,Rincon,US,75.85,clear sky,32.296,-81.2354,Days Inn Rincon
325,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
327,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
330,Boueni,YT,76.98,clear sky,-12.9025,45.0761,The feet in water
335,Trairi,BR,78.6,clear sky,-3.2778,-39.2689,janelas do mar
340,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
343,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
345,Cairns,AU,77.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
346,Moga,IN,84.0,clear sky,30.8,75.1667,Hotel Jaiswal
354,Tevaitoa,PF,81.19,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
358,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
362,Tamandare,BR,77.41,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
367,Mastic Beach,US,76.1,few clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
377,Pokhara,NP,82.24,clear sky,28.2333,83.9833,Butterfly Lodge
384,Kavieng,PG,82.67,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
389,Petatlan,MX,80.44,clear sky,17.5167,-101.2667,Hotel California Petatlán
393,Maragogi,BR,77.49,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
394,Tubuala,PA,77.32,overcast clouds,9.5167,-79.0333,Río Nabagana
397,Najran,SA,75.76,clear sky,17.4924,44.1277,محمد هادي ال فطيح
405,Pamanukan,ID,84.06,scattered clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
411,Kiunga,PG,81.3,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
414,Yulara,AU,80.44,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
424,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
426,Coahuayana,MX,76.46,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
428,Jizan,SA,86.7,clear sky,17.3333,42.6667,شهدان. ابوالحجر
430,Hirara,JP,81.82,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
431,Iberia,US,76.05,clear sky,29.9502,-91.7507,back to back rv park
