City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Richards Bay,ZA,2021-05-24 01:59:44,-28.783,32.0377,61.88,83,0,9.75,clear sky
162,Imbituba,BR,2021-05-24 02:04:42,-28.24,-48.6703,64.29,65,0,5.48,clear sky
163,Norman Wells,CA,2021-05-24 02:04:42,65.282,-126.8329,42.98,92,100,10.42,light rain
164,Haines Junction,CA,2021-05-24 02:04:43,60.7522,-137.5108,47.41,67,100,3.09,overcast clouds
165,San Cristobal,VE,2021-05-24 02:04:43,7.7669,-72.225,75.38,87,94,3.11,overcast clouds
166,Port Elizabeth,ZA,2021-05-24 02:03:16,-33.918,25.5701,65.1,35,4,9.84,clear sky
167,Qui Nhon,VN,2021-05-24 02:01:16,13.7667,109.2333,86.61,64,67,0.83,broken clouds
168,Cherskiy,RU,2021-05-24 02:04:43,68.75,161.3,48.7,44,11,6.96,few clouds
169,Hovd,MN,2021-05-24 02:04:44,48.0056,91.6419,59.29,33,3,3.2,clear sky
170,Port Hardy,CA,2021-05-24 02:00:00,50.6996,-127.4199,51.98,82,75,9.22,broken clouds
171,Beloha,MG,2021-05-24 02:04:44,-25.1667,45.05,62.78,91,38,6.46,moderate rain
172,Sobolevo,RU,2021-05-24 02:04:45,54.4299,31.8996,44.33,97,87,5.68,overcast clouds
173,Georgetown,MY,2021-05-24 02:01:25,5.4112,100.3354,85.89,77,20,3.29,few clouds
174,Douglas,US,2021-05-24 02:04:45,41.3,-96.167,76.87,76,40,8.99,scattered clouds
175,Kruisfontein,ZA,2021-05-24 02:04:45,-34.0033,24.7314,62.89,29,46,10.63,scattered clouds
176,General Cepeda,MX,2021-05-24 02:04:46,25.3833,-101.45,74.08,50,39,10.42,scattered clouds
177,Chapais,CA,2021-05-24 02:04:46,49.7834,-74.8492,36.77,58,0,5.5,clear sky
178,Kurilsk,RU,2021-05-24 02:04:46,45.2333,147.8833,41.76,97,100,4.81,overcast clouds
179,Constitucion,CL,2021-05-24 02:04:47,-35.3333,-72.4167,53.17,74,83,6.64,broken clouds
180,Snyder,US,2021-05-24 02:04:47,32.7179,-100.9176,74.08,73,1,18.41,clear sky
181,Broome,US,2021-05-24 02:04:47,42.2506,-75.833,62.17,90,1,3.0,clear sky
182,Geraldton,AU,2021-05-24 02:04:48,-28.7667,114.6,57.61,62,90,17.16,overcast clouds
183,Patrocinio,BR,2021-05-24 02:04:48,-18.9439,-46.9925,62.96,89,100,4.34,overcast clouds
184,Kishi,NG,2021-05-24 02:04:48,9.0833,3.85,74.1,85,100,6.29,overcast clouds
185,Gadsden,US,2021-05-24 02:04:28,34.0143,-86.0066,77.63,89,1,0.0,clear sky
186,Conde,BR,2021-05-24 02:04:49,-7.2597,-34.9075,76.46,90,75,7.11,broken clouds
187,Vallenar,CL,2021-05-24 02:04:49,-28.5708,-70.7581,60.51,41,100,2.13,overcast clouds
188,Labrea,BR,2021-05-24 02:04:49,-7.2586,-64.7981,75.0,96,61,1.5,broken clouds
189,Mar Del Plata,AR,2021-05-24 02:04:44,-38.0023,-57.5575,55.99,34,0,5.01,clear sky
190,Hermanus,ZA,2021-05-24 02:04:50,-34.4187,19.2345,56.8,49,100,7.09,overcast clouds
191,Mishkino,RU,2021-05-24 02:04:50,55.3389,63.9175,68.85,69,37,8.19,scattered clouds
192,Chumikan,RU,2021-05-24 02:04:51,54.7183,135.315,32.68,95,100,26.31,light snow
193,Boma,GH,2021-05-24 02:04:51,7.0805,-2.1697,72.21,97,100,2.51,overcast clouds
194,Fairbanks,US,2021-05-24 02:00:06,64.8378,-147.7164,59.09,43,7,1.01,clear sky
195,Luderitz,NA,2021-05-24 02:04:51,-26.6481,15.1594,72.18,34,0,8.19,clear sky
196,Lompoc,US,2021-05-24 02:04:52,34.6391,-120.4579,69.39,82,90,12.66,overcast clouds
197,Kirakira,SB,2021-05-24 02:04:52,-10.4544,161.9205,80.02,83,100,5.93,overcast clouds
198,Tautira,PF,2021-05-24 02:04:52,-17.7333,-149.15,84.22,71,65,3.04,broken clouds
